0,Actual,ocr1_,ocr1_cl,ocr2_,ocr2_cl,ocr3_,ocr3_cl
BMW-X5-528820c.jpg_0000_0316_0245_0160_0037.png,KA43M2052,KA43M2052N,KA43MZ052,KA4M2052,,KAAM2052,
Chevrolet-Beat-519533g.jpg_0002_0313_0493_0229_0053.png,WB06J5095,WB06J5095,WB06JS095,WB06J5095,WB06JS095,NB06J5095,WB06JS095
Chevrolet-Beat-526749c.jpg_0000_0285_0399_0201_0047.png,DL13CB0545,OL13CBOS545,OR13CB05545,DL13CBO545,DL13CB0545,DL,
Chevrolet-Captiva-524767c.jpg_0029_0460_0242_0120_0032.png,DL13CA3456,242252M,,J4,,13156JP,
Chevrolet-Captiva-525852c.jpg_0354_0164_0224_0118_0030.png,MH15CT4851,MH15CT48S1,MH15CT4851,KH15CTASST,KA15CT4557,KH15CT4SS1,KA15CT4551
Chevrolet-Cruze-514328c.jpg_0000_0160_0173_0136_0046.png,MH02BP5688,MH0BP5088,MH08PS088,,,M02BP5088,MH28PS088
Chevrolet-Cruze-521616c.jpg_0339_0021_0273_0187_0045.png,HR26BS1396,,,,,,
Chevrolet-Cruze-527718h.jpg_0000_0113_0256_0099_0023.png,MH43AN4685,IIHL3AN4885,II41BAN4885,HH43ANLGBSI,HR43AN16851,MHL3ANLGSS,MH13AN1655
Chevrolet-Cruze-527731h.jpg_0000_0362_0166_0118_0075.png,MH15CT4515,,,,,,
Chevrolet-Cruze-528849b.jpg_0358_0317_0268_0198_0054.png,KA34N3007,IKA34N3007I,JK43AN30071,,,IKA34N3UO7ALI,JK43AN3U07411
Chevrolet-Optra-520859b.jpg_0000_0303_0358_0200_0054.png,MH12EM5804,MH12EMS804,MH12EM5804,MH12EM5804,MH12EM5804,MH12EMS5804,MH12EM55804
Chevrolet-Optra-522225d.jpg_0029_0672_0371_0123_0034.png,MH12DY3934,EP,,III,,2,
Chevrolet-Optra-Magnum-527337c.jpg_0000_0152_0207_0104_0028.png,TN20BS5797,T20BS5797,TN08SS797,TR,,TN20BS57807,TN20BS57807
Chevrolet-Optra-SRV-527739d.jpg_0344_0081_0265_0139_0044.png,MH02JP1724,,,,,,
Chevrolet-Spark-527714g.jpg_0347_0105_0196_0112_0034.png,MH02BM3295,,,,,M41NH023299,MH1NHO23299
Chevrolet-Spark-528062d.jpg_0336_0015_0237_0152_0060.png,MH12EM6015,,,I,,2E,
Chevrolet-Spark-528082d.jpg_0000_0558_0308_0073_0054.png,MH42P7600,,,MP,,NIH497JEDO,NI44JT9300
Chevrolet-Tavera-523920b.jpg_0000_0184_0188_0103_0030.png,MP41BC0360,,,P418CINI,,112C380N,
Chevrolet-Tavera-526711c.jpg_0000_0321_0322_0175_0052.png,WB06A2128,IBO2128,,AA2128,,B2128,
Fiat-Grande-Punto-527738f.jpg_0015_0322_0289_0113_0026.png,MH02BT6107,M,,250,,F501,
Ford-Classic-527601c.jpg_0006_0328_0332_0279_0070.png,TN09BK7357,ETNHO9BK7357,OJ8K7357,,,E9BK7357,
Ford-Endeavour-529225d.jpg_0000_0047_0176_0090_0041.png,GJ1KL5960,,,,,30L,
Ford-Fiesta--2006-2011--519819b.jpg_0350_0198_0340_0164_0041.png,MH14AV5091,EMWQQBN5091,BN5091,AAAANSQG91,AP44NSQ691,,
Ford-Fiesta-526825c.jpg_0000_0268_0330_0248_0069.png,MH01YA4487,101YA4487,IO1YAA487,WHO1YA4487,WB01YA4487,MH01YA4487,MH01YA4487
Ford-Figo-514785f.jpg_0357_0255_0474_0280_0042.png,GJ1KN7175,1128,,7J,,2175,
Ford-Figo-521865f.jpg_0000_0277_0338_0263_0068.png,WB06G7172,,,NBO667172,WB06GT172,ME066772,
Ford-Figo-524314d.jpg_0000_0300_0267_0177_0045.png,MH14DN5256,MH14DN5256,MH14DN5256,MH14DN5256,MH14DN5256,MH14DN5256,MH14DN5256
Ford-Figo-525172c.jpg_0000_0239_0277_0278_0077.png,AP36AH5297,AP36AH5297,AP36AH5297,AP3GAH5297,AP36AH5297,AP36AH5297,AP36AH5297
Ford-Figo-528523c.jpg_0000_0232_0366_0289_0068.png,APAX0048,APO0048,,AP07AX0048,AP07AX0048,,
Ford-Ikon-522629e.jpg_0000_0257_0317_0251_0066.png,MH09BB9894,MH,,MHO93BB9894,MH09BB89894,MH098389894,MH09BB89894
Ford-Ikon-527722b.jpg_0350_0092_0167_0143_0054.png,MH43V8580,,,,,,
Honda-Amaze-529756c.jpg_0000_0261_0339_0202_0047.png,DL4CAN8167,DLLCAN81G7,DL1CAN8167,DLLCAN8187,DL1CAN8187,DLACANS167,DL4CAN5167
Honda-Brio-526822c.jpg_0000_0290_0421_0250_0079.png,MH03BE7081,,,IPHIHJH,,HOBE7081,
Honda-City-517078c.jpg_0003_0264_0219_0174_0052.png,DL4CAH9268,DL4CA9259,DL4CAJ259,QDLACAH9258,DD14CA49258,IWHEL4C7AH9268,IW43LAC7449268
Honda-City-520524b.jpg_0335_0049_0370_0121_0037.png,MH12FF8680,,,1,,NCCKQS,
Honda-City-521205c.jpg_0000_0297_0332_0218_0062.png,HR26BH3864,,,HR26BH3864,HR26BH3864,HR2GBH3864,HR26BH3864
Honda-City-523688c.jpg_0000_0153_0320_0224_0130.png,MH17AA1199,7198I,,MWH17A1199,MH41TA1199,MH7AA1199,MH74AI199
Honda-City-524408c.jpg_0000_0293_0226_0231_0065.png,MH43AB860,FFEEST143AB,FF33ST14348,,,444,
Honda-City-524439c.jpg_0000_0183_0334_0329_0117.png,AP05BK6304,ABK6304,,091A208QI5504L002,OR14ZO8Q155041002,EEEBK6304,EE38KG304
Honda-City-527341c.jpg_0356_0238_0346_0251_0055.png,DL7CF8240,BL7CF8240,BR7CFB240,OL70F8240,OR70FB240,L7CF8240,
Honda-City-527920c.jpg_0003_0274_0340_0265_0071.png,MH01AH997,MH0AHI97,,,,MH0AH997,
Honda-City-528530c.jpg_0354_0082_0335_0186_0055.png,MH13AZ8679,MH13AZS8G6793,MH13AZ58667,,,MH3AZ8573,MH34ZB573
Honda-City-528644d.jpg_0017_0338_0143_0081_0040.png,RJ36CA2630,IRJSCCA2630I,HR95CC42630,,,956ILMI,
Honda-City-529582e.jpg_0000_0308_0262_0131_0048.png,KA20P4959,KA20B359,,59,,KA20,
Honda-City-530341c.jpg_0000_0363_0367_0258_0077.png,MH02NA8975,MHO2NA8975,MH02NA8975,,,MHO2NA8975I,MH02NA89751
Honda-City-530343c.jpg_0358_0328_0307_0240_0056.png,MH04DY2043,N,,34D2043,,,
Honda-City-530398c.jpg_0350_0173_0348_0220_0079.png,MH12HL9421,,,,,,
Honda-City-ZX-524688g.jpg_0008_0393_0386_0126_0029.png,MH12DY5681,150172,,,,S,
Honda-City-ZX-527688c.jpg_0000_0272_0319_0307_0074.png,GJ18AB8628,GJ18AB8628,GJ18AB8628,ALHJQGHSARS52,AP49QG454R552,IGJ18AB86284,IG91BA886284
Honda-City-ZX-529066c.jpg_0031_0598_0505_0186_0055.png,MH14AM5836,I287A,,,,,
Honda-Civic-519967c.jpg_0000_0266_0234_0246_0059.png,DL3CBE1458,DL3CB1458,DL3CBI458,DL3CBE1458,DL3CBE1458,DL3CB1458,DL3CBI458
Honda-Civic-523450c.jpg_0026_0549_0446_0130_0035.png,HR26AL8532,,,,,,
Honda-Civic-525638c.jpg_0000_0272_0256_0184_0079.png,MH15CD858,,,MHISCD8593,MH15CD8593,COB,
Honda-Civic-528394e.jpg_0000_0351_0270_0160_0050.png,KA05MG5789,GKAOS,,,,KAOQOSMGS7E8,KA0QOSM65738
Honda-Jazz-524452c.jpg_0003_0368_0320_0236_0075.png,WB06D1010,B61010,,WBE,,BD1010,
Honda-Jazz-527431d.jpg_0010_0348_0240_0170_0074.png,MH43X7863,3735,,MH437863,,7BG3,
Hyundai-Accent-514782c.jpg_0000_0158_0191_0151_0043.png,DL7CL4506,DL7G14206,DL76IA206,LICL4506,,DL7G4808,
Hyundai-Accent-521658c.jpg_0000_0158_0211_0142_0039.png,DL10CA1436,L10CA1436,,DL10CA1436,DL10CA1436,CA1436,
Hyundai-Accent-522891c.jpg_0358_0167_0345_0271_0060.png,DL8CAA3557,DLB8CAA3557,DL88CA43557,DL8CAA3557,DL8CAA3557,DLBCAA3557,DL8CAA3557
Hyundai-Accent-527665g.jpg_0000_0250_0184_0105_0033.png,MH01MA0077,,,,,,
Hyundai-Eon-528448c.jpg_0000_0262_0472_0201_0066.png,DL8CAA2242,ZCAA2242,,R,,,
Hyundai-Fluidic-Verna-518440c.jpg_0000_0238_0300_0309_0077.png,GJ1KM781,,,,,,
Hyundai-Getz-528810c.jpg_0012_0476_0437_0156_0043.png,TN02AB9900,2300,,VA,,300,
Hyundai-i10-515336e.jpg_0019_0392_0510_0159_0045.png,MH14BX7173,MILL447177,MH11AA7177,M12BX717,,MIPTLEX7177,MHP7LE87177
Hyundai-i10-518863d.jpg_0016_0456_0503_0167_0041.png,TN06F1742,TW06FT712,TN06FT712,TW0661442,TN06GI442,,
Hyundai-i10-519706d.jpg_0021_0525_0486_0188_0073.png,DL2CAE5200,T,,I,,,
Hyundai-i10-522477c.jpg_0000_0156_0490_0249_0110.png,TN02AJ0322,TNAJH322,,,,TNAJO322,
Hyundai-i10-523412c.jpg_0000_0271_0409_0174_0056.png,DL4CAP4631,BLACAP4631,BR4CAP4631,DL4CAP4631,DL4CAP4631,DLLCAP4631,DL1CAP4631
Hyundai-i10-523922b.jpg_0358_0218_0528_0256_0062.png,DL2CAE9643,,,,,,
Hyundai-i10-525932c.jpg_0010_0379_0527_0221_0056.png,MH42K3981,MH42K3981,MH42KB981,,,MH42K3981,MH42KB981
Hyundai-i10-526446e.jpg_0356_0206_0461_0214_0064.png,KL45B6567,KL45B6567,KL45BG567,K1L45B6567,KL14SB6567,KL45B6567,KL45BG567
Hyundai-i10-527770c.jpg_0349_0188_0390_0118_0036.png,TN22BS6660,,,RBS,,UK,
Hyundai-i10-528025d.jpg_0000_0688_0378_0105_0095.png,MH43V9267,,,A,,,
Hyundai-i10-528645b.jpg_0000_0086_0186_0091_0026.png,TN07BF5202,TN678F5202,TN67BF5202,W,,,
Hyundai-i10-529134c.jpg_0000_0096_0181_0090_0021.png,MH46N4474,I7,,IMHGNM7I,,1174J,
Hyundai-i10-529183c.jpg_0000_0248_0529_0294_0078.png,AP24AP7089,AP21AP7089,AP21AP7089,AP21AP7089,AP21AP7089,AP21AP7089,AP21AP7089
Hyundai-i10-529939c.jpg_0000_0161_0267_0141_0039.png,MH02BY3240,MHO2BY3240,MH02BY3240,40,,MHO2B13240,MH02BI3240
Hyundai-i20-517806c.jpg_0000_0306_0412_0250_0071.png,MH06AZ9999,9999,,M9999,,999,
Hyundai-i20-519841c.jpg_0029_0586_0342_0128_0053.png,MH12FY5920,11712EY020172FP41,II71ZEY0201,,,E2E131520,EZ31BI520
Hyundai-i20-520950c.jpg_0003_0101_0187_0087_0020.png,TN10RM5254,TN180RAM5254,OR4M5254,TM10AM5254,TN10AM5254,TM10AMS254,TN10AM5254
Hyundai-i20-522349c.jpg_0000_0312_0407_0220_0065.png,MH05AX8009,C00MH05A8009,CO0MHO5480,MH05AX8009,MH05AX8009,MH05A8009,MH05AB009
Hyundai-i20-522467c.jpg_0357_0284_0423_0156_0041.png,TN04AD9185,HLTN04AD9185,HR7NOA4091,0INN4AU9185C,ORNNAAU9185C,0TN04AD18,ORN0AA018
Hyundai-i20-527245c.jpg_0020_0551_0493_0157_0057.png,MH12FP8677,EAZF7,,,,7,
Hyundai-Santro-528482c.jpg_0000_0257_0328_0295_0092.png,AP10AL1720,APIOAL1720,AP10AL1720,APIOAL1720,AP10AL1720,APIOAL1720,AP10AL1720
Hyundai-Santro-Xing-521162c.jpg_0000_0267_0291_0246_0086.png,MH04DR6768,6041,,,,114R6768,
Hyundai-Santro-Xing-521263g.jpg_0000_0236_0357_0274_0078.png,DL10CD7259,DL10CD7253,DL10CD7253,,,IDL1OCD7253,DD11OC07253
Hyundai-Santro-Xing-523465b.jpg_0016_0570_0451_0146_0051.png,MH12DS8171,,,AIRFH12050171,APRFHI2050171,202000MH12D58171IPC,ZO20OOM4120581711PC
Hyundai-Santro-Xing-523633c.jpg_0345_0130_0318_0271_0089.png,AP09BH8702,698,,48102,,F,
Hyundai-Santro-Xing-523644c.jpg_0000_0101_0118_0090_0026.png,MH03AR6835,,,,,,
Hyundai-Santro-Xing-526236c.jpg_0000_0336_0305_0205_0082.png,DL3CVQ0799,,,L3CBAO799,C8AO799,DLBO7939,
Hyundai-Santro-Xing-527539c.jpg_0351_0003_0315_0212_0058.png,HR26AK5022,HR26AK5022,HR26AK5022,NR26AK5022,HR26AK5022,HR26AK5022,HR26AK5022
Hyundai-Santro-Xing-529424c.jpg_0000_0311_0407_0186_0043.png,UP16AN0179,UP16AN0179,UP16AN0179,UP6ANO9,,UP16AN0179,UP16AN0179
Hyundai-Santro-Xing-529640b.jpg_0010_0360_0365_0157_0036.png,DL7CL4275,OL7CL4275,OR7CLA275,DL7CL4275,DL7CLA275,DL7C14275,DL7CIA275
Hyundai-Verna-521806c.jpg_0000_0232_0284_0329_0110.png,DL7CN3006,I2006,,DL7CN3006,DL7CNB006,DL7CN3006,DL7CNB006
Hyundai-Verna-522812c.jpg_0347_0084_0212_0217_0065.png,MH06AN3997,,,MHGAN3997,MH64NB997,7,
Hyundai-Verna-525323c.jpg_0002_0335_0322_0260_0076.png,MH01AL5289,H0115280,,,,MHO1AL5289,MH01AL5289
Hyundai-Verna-525427e.jpg_0355_0193_0339_0294_0071.png,TN04AC6132,TNOLACEG132,TN01AC36132,ETNOLACSHZX,N0LAC5428,BTNOLACGE132,BRN0LAC63132
Hyundai-Verna-526999c.jpg_0000_0182_0209_0211_0055.png,WB06A6630,B6A6630,,WBO6A6630,WB06AG630,BO6A6630,
Hyundai-Verna-528714c.jpg_0346_0164_0421_0267_0074.png,WB06F8152,E,,W513,,373,
Hyundai-Verna-529259c.jpg_0000_0268_0302_0288_0067.png,AP09BV4350,AP09BV4350,AP09BV4350,AP09BV4350,AP09BV4350,AP09BV4350,AP09BV4350
Mahindra-Bolero-524259d.jpg_0001_0182_0251_0110_0031.png,MP41BC0824,,,P418C0824,PB18CO824,MPL1BCO824,MP11BC0824
Mahindra-Bolero-529017c.jpg_0000_0360_0344_0131_0045.png,MH06BC4786,PI1756,,PMIHO6BC1786,PB14OG8C1786,I1786,
Mahindra-Bolero-530318c.jpg_0000_0480_0445_0182_0042.png,TN03J0964,TN03J0964,TN03JO964,TN03J0964,TN03JO964,TN03J96,
Mahindra-Renault-Logan-519910c.jpg_0000_0232_0387_0177_0053.png,MH12EG6756,120675,,UM100D008,UP10OD008,CLMHA2EG67556C,CLM4AZ3667556C
Mahindra-Scorpio-522086d.jpg_0355_0245_0374_0211_0056.png,TN21AH1234,ITN21AH1284,IA41284,IN21AH1234,TN21AH1234,ITN21AH1234,N2IA41234
Mahindra-Scorpio-525298c.jpg_0359_0271_0375_0203_0056.png,MH06AL833,MH06AL833,MH06AL833,MH06AL833,MH06AL833,HMH0O6AL833,HR40OG41833
Mahindra-Scorpio-530387c.jpg_0000_0237_0389_0244_0067.png,DL1CP6078,DP6078,,,,P678,
Mahindra-XUV-500-520604c.jpg_0000_0171_0220_0123_0034.png,UP14BP0510,VP14BPQ810,MP14BPQ810,UP14BP0510,UP14BP0510,LPI4512,
Mahindra-Xylo-518096c.jpg_0356_0280_0254_0200_0060.png,TN22BW4008,I4303,,,,MLQ08,
Mahindra-Xylo-522442c.jpg_0000_0314_0269_0175_0041.png,MH48A6131,MH48A6131,MH48AG131,MH48A6151,MH48AG151,MH48A6131,MH48AG131
Mahindra-Xylo-524363b.jpg_0000_0676_0363_0119_0075.png,DL6CJ7212,MA,,I,,DLSCJ212,
Mahindra-Xylo-524363c.jpg_0339_0066_0425_0156_0038.png,DL6CJ7212,3,,A,,I,
Mahindra-Xylo-526852d.jpg_0000_0331_0226_0176_0051.png,MH46N2154,MH46N2154,MH46NZ154,2154,,MH46N2154,MH46NZ154
Mahindra-Xylo-526852g.jpg_0000_0365_0237_0164_0049.png,MH46N2154,MH46N2154,MH46NZ154,,,MH46N2154,MH46NZ154
Maruti-Suzuki-Alto-515313b.jpg_0354_0207_0400_0203_0055.png,TN49AK9101,,,,,,
Maruti-Suzuki-Alto-515313c.jpg_0342_0100_0412_0165_0038.png,TN49AK9101,,,,,,
Maruti-Suzuki-Alto-516983c.jpg_0000_0249_0458_0240_0056.png,MH02CL7324,MHO2CL7324,MH02CL7324,MHO2CL7324,MH02CL7324,MH02CL7324,MH02CL7324
Maruti-Suzuki-Alto-521398c.jpg_0001_0297_0497_0271_0063.png,AP29AJ9099,AP29AJ9099,AP29AJ9099,AP29AJ9099,AP29AJ9099,AP29AJ9099,AP29AJ9099
Maruti-Suzuki-Alto-525711c.jpg_0000_0262_0357_0272_0064.png,WB06F1772,B1772,,BOCF1772,,WBOF1772,
Maruti-Suzuki-Alto-525926b.jpg_0000_0219_0545_0205_0048.png,KA03MK9670,K03MK9670,KA3MKJ670,KA03K9670,KA03KJ670,KA03MK9670,KA03MK9670
Maruti-Suzuki-Alto-526732c.jpg_0024_0521_0517_0124_0033.png,MH12FU5135,HHALLILSIS,HR41LI1515,IWKUIRSIS,IWKUIR515,M445238,
Maruti-Suzuki-Alto-527246c.jpg_0000_0278_0499_0245_0053.png,AP23R1651,AP23R1651,AP23RI651,AP23R1651,AP23RI651,AP23R1651,AP23RI651
Maruti-Suzuki-Alto-527564d.jpg_0000_0116_0294_0075_0017.png,MH04CT2218,MHJOLCT2218,MH90LC72218,,,MHOLCT18,
Maruti-Suzuki-Alto-528069c.jpg_0351_0209_0503_0228_0053.png,MH04DB1744,MH04DB1744,MH04DB1744,MH04DB1744,MH04DB1744,MH04DB1744,MH04DB1744
Maruti-Suzuki-Alto-528270c.jpg_0355_0259_0472_0282_0083.png,AP28BP5030,IAP28BP5030,AP2BBP5030,38BP50301,BR8PSO301,AP28BP5030,AP28BP5030
Maruti-Suzuki-Alto-528922c.jpg_0346_0218_0446_0248_0076.png,TN20BF6121,20BE6121,,,,TNNBFB,
Maruti-Suzuki-Alto-528967c.jpg_0000_0260_0367_0329_0086.png,WB24R1436,WB24R1436,WB24RI436,IWB24R1Z35,IW82AR1235,6,
Maruti-Suzuki-Alto-529792c.jpg_0355_0210_0374_0275_0065.png,TN10AJ1863,TNA0OAJ1863,TN40OA91863,A863,,TNAOAJA863,TN40AJ4863
Maruti-Suzuki-Alto-800-527041c.jpg_0000_0287_0469_0234_0060.png,TNCX4108,TN20CX4108,TN20CX4108,TN20CX4108,TN20CX4108,TN20CX4108,TN20CX4108
